domain,name,country,source
lumalabs.ai,Luma AI,United States,manual
bfl.ai,Black Forest Labs,Germany,manual
genspark.ai,Genspark,United States,manual
uniphore.com,Uniphore,United States,manual
n8n.io,n8n,Germany,manual
speak.com,Speak,United States,manual
pennylane.com,Pennylane,France,manual
owkin.com,Owkin,France,manual
chainguard.dev,Chainguard,United States,manual
island.io,Island,United States,manual
claroty.com,Claroty,United States,manual
huntress.com,Huntress,United States,manual
drata.com,Drata,United States,manual
torq.io,Torq,United States,manual
upwind.io,Upwind,United States,manual
cyberhaven.com,Cyberhaven,United States,manual
withpersona.com,Persona,United States,manual
material.security,Material Security,United States,manual
tailscale.com,Tailscale,Canada,manual
temporal.io,Temporal,United States,manual
planetscale.com,PlanetScale,United States,manual
dremio.com,Dremio,United States,manual
sigmacomputing.com,Sigma Computing,United States,manual
framer.com,Framer,Netherlands,manual
retool.com,Retool,United States,manual
zapier.com,Zapier,United States,manual
konghq.com,Kong,United States,manual
launchdarkly.com,LaunchDarkly,United States,manual
circleci.com,CircleCI,United States,manual
cribl.io,Cribl,United States,manual
demandbase.com,Demandbase,United States,manual
attentive.com,Attentive,United States,manual
goat.com,GOAT,United States,manual
goflink.com,Flink,Germany,manual
getir.com,Getir,Turkey,manual
picnic.app,Picnic,Netherlands,manual
rapido.bike,Rapido,India,manual
darwinbox.com,Darwinbox,India,manual
perfios.ai,Perfios,India,manual
porter.in,Porter,India,manual
jumbotail.com,Jumbotail,India,manual
juspay.io,Juspay,India,manual
games24x7.com,Games24x7,India,manual
pocketfm.com,Pocket FM,India,manual
unacademy.com,Unacademy,India,manual
leadsquared.com,LeadSquared,India,manual
licious.in,Licious,India,manual
shiprocket.in,Shiprocket,India,manual
xpressbees.com,Xpressbees,India,manual
mercury.com,Mercury,United States,manual
oysterhr.com,Oyster,United States,manual
betterment.com,Betterment,United States,manual
public.com,Public,United States,manual
upgrade.com,Upgrade,United States,manual
bolt.com,Bolt Financial,United States,manual
sumup.com,SumUp,United Kingdom,manual
paddle.com,Paddle,United Kingdom,manual
scalable.capital,Scalable Capital,Germany,manual
raisin.com,Raisin,Germany,manual
pigment.com,Pigment,France,manual
brevo.com,Brevo,France,manual
motorway.co.uk,Motorway,United Kingdom,manual
zopa.com,Zopa,United Kingdom,manual
gocardless.com,GoCardless,United Kingdom,manual
thoughtmachine.net,Thought Machine,United Kingdom,manual
quantexa.com,Quantexa,United Kingdom,manual
clearscore.com,ClearScore,United Kingdom,manual
lendable.co.uk,Lendable,United Kingdom,manual
multiverse.io,Multiverse,United Kingdom,manual
wayve.ai,Wayve,United Kingdom,manual
physicsx.ai,PhysicsX,United Kingdom,manual
tide.co,Tide,United Kingdom,manual
deepl.com,DeepL,Germany,manual
enpal.de,Enpal,Germany,manual
